蓝莓 | 克 | fruit,fruit_berry
荠菜 | 把 | vegetable,vegetable_wild,dark_vegetable,nutrition_calcium_plant,season_spring
香椿 | 把 | vegetable,vegetable_wild,dark_vegetable,season_spring
马兰头 | 把 | vegetable,vegetable_wild,dark_vegetable,season_spring
葡萄干 | 克 | fruit,fruit_dried,gi_high
桂圆干 | 颗 | fruit,fruit_dried,gi_high
兔肉 | 克 | meat,meat_livestock,meat_livestock_other,protein_quality,fat_low
驴肉 | 克 | meat,meat_livestock,meat_livestock_other,protein_quality,fat_low
鱼丸 | 个 | aquatic,aquatic_processed,sodium_high
速冻水饺 | 个 | convenience,convenience_frozen,sodium_high
汤圆 | 个 | convenience,convenience_frozen,gi_high
方便面 | 包 | convenience,convenience_instant,sodium_high,fat_high,gi_high
自热米饭 | 盒 | convenience,convenience_instant,sodium_high
午餐肉 | 片 | convenience,convenience_canned,sodium_high,fat_high
鱼罐头 | 罐 | convenience,convenience_canned,sodium_high
水果罐头 | 罐 | convenience,convenience_canned,gi_high
料理包 | 包 | convenience,convenience_prepared,sodium_high,fat_high
番茄酱 | 勺 | seasoning,seasoning_sauce,sodium_high
甜面酱 | 勺 | seasoning,seasoning_sauce,sodium_high
沙拉酱 | 勺 | seasoning,seasoning_sauce,fat_high
蒜薹 | 把 | vegetable,vegetable_allium,fiber_high,season_spring
茭白 | 根 | vegetable,vegetable_aquatic,fiber_high,purine_low,season_autumn
荸荠 | 个 | vegetable,vegetable_aquatic,season_autumn
牛腩 | 克 | meat,meat_livestock,meat_beef,protein_quality,fat_high
羊排 | 克 | meat,meat_livestock,meat_mutton,fat_high
章鱼 | 只 | aquatic,aquatic_cephalopod,purine_high,protein_quality
海蜇 | 克 | aquatic,aquatic_other,protein_quality,fat_low
奶粉 | 克 | dairy,dairy_product,calcium_high,protein_quality
黄油 | 克 | oil,oil_animal,fat_high
葵花籽 | 克 | soy_nut,nut_seed,fat_high
花椒 | 克 | seasoning,seasoning_spice
八角 | 颗 | seasoning,seasoning_spice
桂皮 | 块 | seasoning,seasoning_spice
孜然 | 克 | seasoning,seasoning_spice
胡椒 | 克 | seasoning,seasoning_spice
香叶 | 片 | seasoning,seasoning_spice
五香粉 | 克 | seasoning,seasoning_spice
茶树菇 | 克 | fungi_algae,fungi,fiber_high,purine_medium
草菇 | 克 | fungi_algae,fungi,purine_medium
蟹味菇 | 克 | fungi_algae,fungi,purine_medium
猴头菇 | 个 | fungi_algae,fungi,fiber_high
内酯豆腐 | 盒 | soy_nut,soy_product,protein_quality
冻豆腐 | 块 | soy_nut,soy_product,protein_quality
油豆腐 | 个 | soy_nut,soy_product,protein_quality,fat_high
青豆 | 克 | soy_nut,soy_bean,protein_quality,fiber_high
黄花鱼 | 条 | aquatic,aquatic_fish,aquatic_fish_marine,protein_quality,purine_medium
鲳鱼 | 条 | aquatic,aquatic_fish,aquatic_fish_marine,protein_quality,purine_medium
罗非鱼 | 条 | aquatic,aquatic_fish,aquatic_fish_freshwater,protein_quality,purine_medium
龙利鱼 | 克 | aquatic,aquatic_fish,aquatic_fish_marine,protein_quality,fat_low
河虾 | 克 | aquatic,aquatic_crustacean,protein_quality,purine_high,nutrition_calcium_absorbable
蛏子 | 克 | aquatic,aquatic_bivalve,purine_high,nutrition_zinc
田螺 | 克 | aquatic,aquatic_other,purine_high
泥鳅 | 克 | aquatic,aquatic_fish,aquatic_fish_freshwater,protein_quality,purine_medium
石榴 | 个 | fruit,fruit_berry
柿子 | 个 | fruit,fruit_pome,gi_medium
无花果 | 个 | fruit,fruit_berry,fiber_high
桑葚 | 克 | fruit,fruit_berry,nutrition_iron_non_heme
山竹 | 个 | fruit,fruit_tropical
榴莲 | 块 | fruit,fruit_tropical,gi_medium,fat_high
椰子 | 个 | fruit,fruit_tropical,fat_high
枇杷 | 个 | fruit,fruit_pome
皮蛋 | 个 | egg,egg_product
炼乳 | 勺 | dairy,dairy_product,gi_high
淡奶油 | 克 | dairy,dairy_product,fat_high
小麦 | 克 | staple,staple_grain,staple_grain_wheat,whole_grain,fiber_high
玉米油 | 勺 | oil,oil_plant,fat_high
大豆油 | 勺 | oil,oil_plant,fat_high
秋葵 | 根 | vegetable,vegetable_gourd_solanaceae,vegetable_gourd,fiber_high,season_summer
荷兰豆 | 把 | vegetable,vegetable_fresh_bean,season_spring
芥菜 | 把 | vegetable,vegetable_leaf,dark_vegetable,season_winter
杨梅 | 克 | fruit,fruit_berry
李子 | 个 | fruit,fruit_stone
木瓜 | 个 | fruit,fruit_tropical
甘蔗 | 段 | fruit,fruit_tropical,gi_high
口蘑 | 克 | fungi_algae,fungi,purine_medium
鲍鱼 | 只 | aquatic,aquatic_other,protein_quality,purine_high
猪肚 | 个 | meat,meat_offal
鹅蛋 | 个 | egg,egg_fresh,protein_quality
蒸鱼豉油 | 勺 | seasoning,seasoning_savory,sodium_high
咖喱 | 块 | seasoning,seasoning_spice,sodium_high
年糕 | 块 | staple,staple_grain,staple_grain_product,gi_high
米线 | 把 | staple,staple_grain,staple_grain_product
豇豆 | 克 | vegetable,vegetable_fresh_bean,season_summer
竹笋 | 根 | vegetable,season_spring
蒜苗 | 根 | vegetable,vegetable_allium
紫甘蓝 | 颗 | vegetable,vegetable_leaf,dark_vegetable,nutrition_vitamin_c
彩椒 | 个 | vegetable,vegetable_solanaceae,nutrition_vitamin_c,season_summer
菜心 | 把 | vegetable,vegetable_leaf,dark_vegetable
韭黄 | 把 | vegetable,vegetable_allium
豌豆苗 | 把 | vegetable,vegetable_leaf,dark_vegetable
白玉菇 | 克 | fungi_algae,fungi
海鲜菇 | 克 | fungi_algae,fungi
猪肉末 | 克 | meat,meat_livestock,meat_pork
牛腱 | 克 | meat,meat_livestock,meat_beef,protein_quality
鸡爪 | 只 | meat,meat_poultry
鸭腿 | 只 | meat,meat_poultry
培根 | 片 | meat,meat_processed
墨鱼 | 只 | aquatic,aquatic_cephalopod
花甲 | 克 | aquatic,aquatic_bivalve
黑鱼 | 条 | aquatic,aquatic_fish,aquatic_fish_freshwater
青口 | 克 | aquatic,aquatic_bivalve
千张 | 张 | soy_nut,soy_product
腐乳 | 块 | soy_nut,soy_product
粉条 | 克 | staple,staple_tuber
粉丝 | 克 | staple,staple_legume
河粉 | 克 | staple,staple_grain_product
饺子皮 | 张 | staple,staple_grain_product
莲子 | 克 | soy_nut,nut_seed
松子 | 克 | soy_nut,nut_tree
淀粉 | 勺 | seasoning,seasoning_other
冰糖 | 块 | seasoning,seasoning_sweet_sour
红糖 | 勺 | seasoning,seasoning_sweet_sour
干辣椒 | 个 | seasoning,seasoning_spice
香醋 | 勺 | seasoning,seasoning_sweet_sour
豆豉 | 勺 | seasoning,seasoning_sauce
芝麻酱 | 勺 | seasoning,seasoning_sauce
可乐 | 毫升 | other
蛋白肉 | 克 | soy_nut,soy_product,protein_quality
山药粉 | 克 | staple,staple_tuber
藕粉 | 克 | staple,staple_grain_product
玉米面 | 克 | staple,staple_grain,staple_grain_coarse,whole_grain
玉米糁 | 克 | staple,staple_grain,staple_grain_coarse,whole_grain
奇亚籽 | 克 | soy_nut,nut_seed,nutrition_omega3,fiber_high
米粉 | 把 | staple,staple_grain,staple_grain_product
乌冬面 | 克 | staple,staple_grain,staple_grain_product
意大利面 | 克 | staple,staple_grain,staple_grain_product
刀削面 | 克 | staple,staple_grain,staple_grain_product
螺蛳粉 | 包 | staple,staple_grain,staple_grain_product
粽子 | 个 | staple,staple_grain,staple_grain_rice,gi_high
吐司 | 片 | staple,staple_grain,staple_grain_product
面筋 | 克 | staple,staple_grain,staple_grain_product,protein_quality
炕馍 | 个 | staple,staple_grain,staple_grain_product
杂粮煎饼 | 张 | staple,staple_grain,staple_grain_product,whole_grain
卷饼 | 张 | staple,staple_grain,staple_grain_product
百合 | 克 | vegetable,vegetable_root
上海青 | 把 | vegetable,vegetable_leaf,dark_vegetable
鸡毛菜 | 把 | vegetable,vegetable_leaf,dark_vegetable
杭白菜 | 把 | vegetable,vegetable_leaf,dark_vegetable
大黑菜 | 把 | vegetable,vegetable_leaf,dark_vegetable
板蓝根青菜 | 把 | vegetable,vegetable_leaf,dark_vegetable
绿甘蓝 | 个 | vegetable,vegetable_leaf
菜苔 | 把 | vegetable,vegetable_leaf,dark_vegetable
菊花脑 | 把 | vegetable,vegetable_leaf,vegetable_wild,dark_vegetable
艾蒿 | 把 | vegetable,vegetable_wild
苜蓿 | 把 | vegetable,vegetable_wild,dark_vegetable
南瓜头 | 把 | vegetable,vegetable_leaf
红薯梗 | 把 | vegetable,vegetable_leaf
韭菜花 | 把 | vegetable,vegetable_allium
水芹 | 把 | vegetable,vegetable_aquatic,vegetable_leaf
西芹 | 把 | vegetable,vegetable_leaf
贡菜 | 克 | vegetable,vegetable_leaf
瓠子 | 根 | vegetable,vegetable_gourd,purine_low,season_summer
佛手瓜 | 个 | vegetable,vegetable_gourd
菜瓜 | 根 | vegetable,vegetable_gourd,season_summer
西瓜皮 | 克 | vegetable,vegetable_gourd
蚕豆 | 克 | vegetable,vegetable_fresh_bean,purine_medium,season_spring
豌豆 | 克 | vegetable,vegetable_fresh_bean
扁豆 | 克 | vegetable,vegetable_fresh_bean,season_summer
干豆角 | 克 | vegetable,vegetable_fresh_bean
小葱 | 根 | seasoning,seasoning_spice,vegetable_allium
干香菇 | 克 | fungi_algae,fungi,purine_medium
鸡毛蛋 | 个 | egg,egg_product
牛油果 | 个 | fruit,fruit_tropical,fat_high
油桃 | 个 | fruit,fruit_stone
人参果 | 个 | fruit,fruit_melon
冬枣 | 克 | fruit,fruit_pome,nutrition_vitamin_c
丑橘 | 个 | fruit,fruit_citrus,nutrition_vitamin_c
柠檬 | 个 | fruit,fruit_citrus,nutrition_vitamin_c
蹄髈 | 克 | meat,meat_livestock,meat_pork,fat_high
后腿瘦肉 | 克 | meat,meat_livestock,meat_pork,protein_quality
扇子骨 | 克 | meat,meat_livestock,meat_pork
大排 | 块 | meat,meat_livestock,meat_pork
大骨头 | 克 | meat,meat_livestock,meat_pork
牛霖 | 克 | meat,meat_livestock,meat_beef,protein_quality
菲力 | 克 | meat,meat_livestock,meat_beef,protein_quality,fat_low
西冷 | 克 | meat,meat_livestock,meat_beef,protein_quality
牛肉丸 | 个 | meat,meat_processed
肉丸 | 个 | meat,meat_processed
翅中 | 个 | meat,meat_poultry,protein_quality
老母鸡 | 只 | meat,meat_poultry
鸭肫 | 个 | meat,meat_offal
鸡胗 | 个 | meat,meat_offal
鸭杂 | 克 | meat,meat_offal
鸭肠 | 克 | meat,meat_offal
猪心 | 个 | meat,meat_offal
猪腰 | 个 | meat,meat_offal,purine_high
猪舌头 | 个 | meat,meat_offal
肥肠 | 克 | meat,meat_offal,fat_high
猪耳朵 | 个 | meat,meat_offal
猪头肉 | 克 | meat,meat_livestock,meat_pork,fat_high
猪皮冻 | 克 | meat,meat_processed
猪血 | 克 | meat,meat_offal,nutrition_iron_heme,fat_low
牛血 | 克 | meat,meat_offal,nutrition_iron_heme
鸭爪 | 只 | meat,meat_poultry
鸭头 | 个 | meat,meat_poultry
鸭脖 | 根 | meat,meat_poultry
鸭翅 | 个 | meat,meat_poultry
鸭胸肉 | 克 | meat,meat_poultry,protein_quality
咸鹅 | 克 | meat,meat_processed,sodium_high
咸鸭 | 克 | meat,meat_processed,sodium_high
咸鸡 | 克 | meat,meat_processed,sodium_high
腊鸡 | 克 | meat,meat_processed,sodium_high
腊鸭腿 | 只 | meat,meat_processed,sodium_high
咸肉 | 克 | meat,meat_processed,sodium_high
咸猪肝 | 克 | meat,meat_offal,sodium_high
咸猪蹄 | 个 | meat,meat_processed,sodium_high
咸鱼 | 克 | aquatic,aquatic_processed,sodium_high
烤鸭 | 克 | meat,meat_processed
卤牛肉 | 克 | meat,meat_processed
大红肠 | 根 | meat,meat_processed,sodium_high
火腿肠 | 根 | meat,meat_processed,sodium_high
桂鱼 | 条 | aquatic,aquatic_fish,aquatic_fish_freshwater,protein_quality,purine_medium
青占鱼 | 条 | aquatic,aquatic_fish,aquatic_fish_freshwater,purine_medium
鳊鱼 | 条 | aquatic,aquatic_fish,aquatic_fish_freshwater,purine_medium
昂刺鱼 | 条 | aquatic,aquatic_fish,aquatic_fish_freshwater,purine_medium
小龙虾 | 克 | aquatic,aquatic_crustacean,purine_high
对虾 | 克 | aquatic,aquatic_crustacean,protein_quality,purine_high
虾仁 | 克 | aquatic,aquatic_crustacean,protein_quality,purine_high
虾米 | 克 | aquatic,aquatic_processed,sodium_high,purine_high
虾糕 | 克 | aquatic,aquatic_processed
小鱼干 | 克 | aquatic,aquatic_processed,sodium_high
梭子蟹 | 只 | aquatic,aquatic_crustacean,purine_high
螺蛳 | 克 | aquatic,aquatic_other,purine_high
油条 | 根 | staple,staple_grain,staple_grain_product,fat_high
小笼包 | 个 | staple,staple_grain,staple_grain_product
茶叶蛋 | 个 | egg,egg_product
素鸡 | 克 | soy_nut,soy_product,protein_quality
脆豆腐 | 块 | soy_nut,soy_product
老豆腐 | 块 | soy_nut,soy_product,protein_quality
厚百叶 | 张 | soy_nut,soy_product,protein_quality
千张结 | 克 | soy_nut,soy_product,protein_quality
鱼豆腐 | 克 | aquatic,aquatic_processed
馓子 | 克 | staple,staple_grain,staple_grain_product,fat_high
雪菜 | 克 | vegetable,vegetable_leaf,sodium_high
酸菜 | 克 | vegetable,vegetable_leaf,sodium_high
榨菜 | 克 | vegetable,vegetable_root,sodium_high
酸豆角 | 克 | vegetable,vegetable_fresh_bean,sodium_high
橄榄菜 | 克 | vegetable,vegetable_leaf,sodium_high
萝卜干 | 克 | vegetable,vegetable_root,sodium_high
咸菜 | 克 | vegetable,vegetable_leaf,sodium_high
泡姜 | 克 | seasoning,seasoning_spice
泡椒 | 个 | seasoning,seasoning_spice,sodium_high
糟辣椒 | 勺 | seasoning,seasoning_sauce,sodium_high
小米辣 | 个 | seasoning,seasoning_spice
线椒 | 个 | vegetable,vegetable_solanaceae
二荆条 | 个 | vegetable,vegetable_solanaceae
螺丝椒 | 个 | vegetable,vegetable_solanaceae
樟树椒 | 个 | vegetable,vegetable_solanaceae
剁椒 | 勺 | seasoning,seasoning_sauce,sodium_high
辣椒酱 | 勺 | seasoning,seasoning_sauce,sodium_high
黄豆酱 | 勺 | seasoning,seasoning_sauce,sodium_high
酱豆 | 克 | seasoning,seasoning_sauce,sodium_high
紫苏油 | 勺 | oil,oil_plant,fat_high,nutrition_omega3
山茶油 | 勺 | oil,oil_plant,fat_high
鱼油 | 粒 | oil,oil_animal,nutrition_omega3
黑胡椒粉 | 克 | seasoning,seasoning_spice
白胡椒粉 | 克 | seasoning,seasoning_spice
迷迭香 | 克 | seasoning,seasoning_spice
十三香 | 克 | seasoning,seasoning_spice
枸杞 | 克 | fruit,fruit_dried
陈皮 | 克 | seasoning,seasoning_spice
玫瑰花 | 克 | other
菊花 | 克 | other
大麦茶 | 克 | other
玉米须 | 克 | other
普洱茶 | 克 | other
绿茶 | 克 | other
蒲公英 | 克 | other
菊粉 | 克 | other,fiber_high
干百合 | 克 | vegetable,vegetable_root
饺子 | 个 | staple,staple_grain,staple_grain_product
馄饨 | 个 | staple,staple_grain,staple_grain_product
蒸饺 | 个 | staple,staple_grain,staple_grain_product
三明治 | 个 | staple,staple_grain,staple_grain_product
青团 | 个 | staple,staple_grain,staple_grain_rice,gi_high
凉皮 | 克 | staple,staple_grain,staple_grain_product
紫燕百味鸡 | 克 | meat,meat_processed
苏打饼干 | 块 | staple,staple_grain,staple_grain_product,convenience
